,datetime,actual_state,actual,forecast
122,2018-04-10,up,0.3,0.1
123,2018-05-09,down,0.1,0.2
124,2018-06-13,up,0.5,0.3
125,2018-07-11,up,0.3,0.2
126,2018-08-09,down,0.0,0.2
127,2018-09-12,down,-0.1,0.2
128,2018-10-10,neutral,0.2,0.2
129,2018-11-09,up,0.6,0.2
130,2018-12-11,neutral,0.1,0.1
131,2019-01-15,neutral,-0.1,-0.1
132,2019-02-14,down,-0.1,0.1
133,2019-03-13,down,0.1,0.2
134,2019-04-11,up,0.6,0.3
135,2019-05-09,neutral,0.2,0.2
136,2019-06-11,neutral,0.1,0.1
137,2019-07-12,neutral,0.1,0.1
138,2019-08-09,neutral,0.2,0.2
139,2019-09-11,neutral,0.1,0.1
140,2019-10-08,down,-0.3,0.1
141,2019-11-14,up,0.4,0.3
142,2019-12-12,down,0.0,0.2
143,2020-01-15,neutral,0.2,0.2
144,2020-02-19,up,0.5,0.1
145,2020-03-12,down,-0.6,-0.1
146,2020-04-09,up,-0.2,-0.4
147,2020-05-13,down,-1.3,-0.5
148,2020-06-11,up,0.4,0.1
149,2020-07-10,down,-0.2,0.4
150,2020-08-11,up,0.6,0.3
151,2020-09-10,up,0.3,0.2
152,2020-10-14,up,0.4,0.2
153,2020-11-13,up,0.3,0.2
154,2020-12-11,down,0.1,0.2
155,2021-01-15,down,0.3,0.4
156,2021-02-17,up,1.3,0.4
157,2021-03-12,neutral,0.5,0.5
158,2021-04-09,up,1.0,0.5
159,2021-05-13,up,0.6,0.3
160,2021-06-15,up,0.8,0.6
161,2021-07-14,up,1.0,0.6
162,2021-08-12,up,1.0,0.6
163,2021-09-10,up,0.7,0.6
164,2021-10-14,down,0.5,0.6
165,2021-11-09,neutral,0.6,0.6
166,2021-12-14,up,1.0,0.5
167,2022-01-13,neutral,0.4,0.4
168,2022-02-15,up,1.2,0.5
169,2022-03-15,neutral,0.9,0.9
170,2022-04-13,up,1.6,1.1
171,2022-05-12,down,0.4,0.5
172,2022-06-14,up,0.9,0.8
173,2022-07-14,up,1.0,0.8
174,2022-08-11,down,-0.4,0.2
175,2022-09-14,down,-0.2,-0.1
176,2022-10-12,neutral,0.2,0.2
177,2022-11-15,down,0.3,0.4
178,2022-12-09,neutral,0.2,0.2
179,2023-01-18,down,-0.2,-0.1
180,2023-02-16,down,0.3,0.4
181,2023-03-15,down,0.0,0.3
182,2023-04-13,down,-0.4,0.1
183,2023-05-11,down,0.2,0.3
184,2023-06-14,down,-0.4,-0.1
185,2023-07-13,down,0.0,0.2
186,2023-08-11,up,0.4,0.2
187,2023-09-14,up,0.7,0.4
188,2023-10-11,up,0.4,0.3
189,2023-11-15,down,-0.4,0.1
190,2023-12-13,down,-0.1,0.1
191,2024-01-12,down,-0.1,0.1
192,2024-02-16,up,0.3,0.1
193,2024-03-14,up,0.6,0.3
194,2024-04-11,down,-0.1,0.3
195,2024-05-14,up,0.5,0.3
196,2024-06-13,down,0.0,0.1
197,2024-07-12,up,0.2,0.1
198,2024-08-13,down,0.0,0.2
199,2024-09-12,up,0.2,0.1
200,2024-10-11,neutral,0.1,0.1
201,2024-11-14,up,0.3,0.2
202,2024-12-12,up,0.4,0.2
203,2025-01-14,up,0.5,0.4
204,2025-02-13,up,0.6,0.3
205,2025-03-13,down,0.1,0.3
206,2025-04-11,down,0.0,0.2
207,2025-05-15,down,-0.2,0.2
208,2025-06-12,up,0.3,0.2
209,2025-07-16,down,0.0,0.2
